,Platform,Genre,Publisher,Developer,No Of Players,End Of Month,Top Developer _Count,Top Developer _Sum,Release Weekend
Platform, NA , 0.00 , 0.41 , 0.00 , 0.00 , 0.27 , 0.00 , 0.00 , 0.03 
Genre, 0.00 , NA , 0.07 , 0.00 , 0.00 , 0.15 , 0.00 , 0.00 , 0.50 
Publisher, 0.41 , 0.07 , NA , 0.00 , 0.74 , 0.17 , 0.00 , 0.00 , 0.59 
Developer, 0.00 , 0.00 , 0.00 , NA , 0.00 , 0.09 , -   , -   , 0.00 
No Of Players, 0.00 , 0.00 , 0.74 , 0.00 , NA , 0.84 , 0.00 , 0.00 , 0.40 
End Of Month, 0.27 , 0.15 , 0.17 , 0.09 , 0.84 , NA , 0.01 , 0.00 , 0.01 
Top Developer _Count, 0.00 , 0.00 , 0.00 , -   , 0.00 , 0.01 , NA , -   , 0.48 
Top Developer _Sum, 0.00 , 0.00 , 0.00 , -   , 0.00 , 0.00 , -   , NA , 0.29 
Release Weekend, 0.03 , 0.50 , 0.59 , 0.00 , 0.40 , 0.01 , 0.48 , 0.29 , NA 
